Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Europe,º Europe,1961,Earths,0.014482776438938492,0.6850843138566223,0.26285061108511565,0.06985922501204343,0.22439626455383868,0.09794068349003687,1.341561461411052,null,null
Europe,º Europe,1962,Earths,0.015460196220182493,0.7335360273970105,0.27364450770237914,0.07264603161648493,0.22632138696901005,0.10122447949881305,1.4100987515501133,null,null
Europe,º Europe,1963,Earths,0.015610646625468919,0.79702440659507,0.26706263287307375,0.07658024299207507,0.23069293480745215,0.10846052044767546,1.4827142764906927,null,null
Europe,º Europe,1964,Earths,0.016743105706915094,0.8529714753759708,0.2955073563135639,0.07562371473254402,0.24200319342078172,0.10104576896387761,1.5695773421409498,null,null
Europe,º Europe,1965,Earths,0.017191987178342853,0.8986521352026503,0.2895423634331443,0.08656432913414158,0.24234603680037237,0.10417066840106239,1.624974458587846,null,null
Europe,º Europe,1966,Earths,0.01762946143204407,0.9323754765587142,0.31598692277876805,0.09354194388969957,0.24176788760995616,0.09970492321038961,1.6871825327240255,null,null
Europe,º Europe,1967,Earths,0.019822636475409446,0.9663832138552299,0.3154874815866323,0.10410807637385348,0.25115791554724715,0.10166859948015841,1.743404542718043,null,null
Europe,º Europe,1968,Earths,0.01998262069252979,1.02363573479525,0.3244687644030474,0.11334271058651943,0.25220986520033967,0.10149379531792242,1.8185374999474568,null,null
Europe,º Europe,1969,Earths,0.02071889156179978,1.113995844320148,0.32925930662877584,0.11366286970490015,0.2577527500209334,0.10646738927655443,1.925933664283375,null,null
Europe,º Europe,1970,Earths,0.020976459968230388,1.2697206478770753,0.3509167404749866,0.11388912346955188,0.2728509245650154,0.10292849037774404,2.114835566640621,null,null
Europe,º Europe,1971,Earths,0.02293895926494589,1.2372555494807715,0.36428134503487103,0.10887316455656619,0.27416123199998765,0.10381986970209317,2.09471380776262,null,null
Europe,º Europe,1972,Earths,0.023737120719523455,1.3080348845353287,0.3740842309399431,0.11695485711504436,0.2726375416315783,0.1128724817751914,2.191485625271686,null,null
Europe,º Europe,1973,Earths,0.024606896506272756,1.3972359983459917,0.40495241341928645,0.1210062912285787,0.28119497984084085,0.10088016010964215,2.312140343035669,null,null
Europe,º Europe,1974,Earths,0.025448052879636838,1.3928201094388826,0.38975306918335306,0.1279359637902486,0.2887746064214063,0.10154273875826653,2.309412915860963,null,null
Europe,º Europe,1975,Earths,0.02379095765176763,1.395607656246912,0.3632995959434702,0.12135016947895358,0.284969608397803,0.11318905178773982,2.2869789597158143,null,null
Europe,º Europe,1976,Earths,0.02411330417116407,1.4961209921347987,0.41105842997871433,0.12374140483461242,0.2838788471731904,0.11119107654127666,2.434679678698857,null,null
Europe,º Europe,1977,Earths,0.025745369666594787,1.5158114359817798,0.4053056470304041,0.11093250310325437,0.2829562889166836,0.11008626929332477,2.436877483698515,null,null
Europe,º Europe,1978,Earths,0.027376573097036297,1.5474670847078378,0.44135929647427796,0.10186031721963582,0.275632439043987,0.10793469568667056,2.4892601344007748,null,null
Europe,º Europe,1979,Earths,0.027064312066990278,1.647199164442685,0.4176827859051823,0.10072167832836516,0.28539592549583065,0.1174117854223685,2.585343652301611,null,null
Europe,º Europe,1980,Earths,0.028764947403890937,1.6269074466186826,0.44147873277469457,0.1040059651215316,0.2922293924299411,0.1153800325536682,2.5984337559581103,null,null
Europe,º Europe,1981,Earths,0.028177614117496076,1.5307204505686285,0.4141478048926231,0.10297125339584531,0.29057402013780637,0.11628536448347153,2.473266188338923,null,null
Europe,º Europe,1982,Earths,0.0311244003495953,1.501932337906184,0.45710139385512905,0.10066674845522336,0.2895861291287786,0.11153075890785011,2.4821522157704234,null,null
Europe,º Europe,1983,Earths,0.03033295403763478,1.5025981646095854,0.45169060142168205,0.10074510996283012,0.29540057637473754,0.11561312174731365,2.4872785651434866,null,null
Europe,º Europe,1984,Earths,0.034563251689326314,1.5101753859922524,0.47004524955514493,0.10233670073994715,0.29908003496841884,0.11679919864473272,2.523465956913293,null,null
Europe,º Europe,1985,Earths,0.033856570904844834,1.5618104683106828,0.4703969510689706,0.10495032438117965,0.29938214900536325,0.11945895283124056,2.5799259077291117,null,null
Europe,º Europe,1986,Earths,0.034752825387202466,1.6290862673391726,0.480053108416694,0.10870340513173707,0.3092361740702615,0.1162658821537403,2.666802879170172,null,null
Europe,º Europe,1987,Earths,0.03547531855391435,1.6863084449137462,0.49848611155832745,0.1128833516165988,0.31945410696905013,0.11886324800520881,2.7601290262060636,null,null
Europe,º Europe,1988,Earths,0.03658198072947964,1.7541625408082686,0.5034500179061049,0.08000717184799963,0.33613799849412124,0.11852586405833512,2.822057766583959,null,null
Europe,º Europe,1989,Earths,0.03816278242909883,1.7685334699163289,0.5147986375503434,0.07502984691015911,0.34704656393482086,0.11794737364256676,2.85445548486608,null,null
Europe,º Europe,1990,Earths,0.038061674081105085,1.7082463002219963,0.523376259216696,0.06744675799994379,0.35871072800881504,0.11396469199488947,2.8012546196213015,null,null
